VMName,SourceVM,Cluster,VMHost,ResourcePool,Datastore,Folder,Network,CpuCount,MemoryGB,DiskGB,OSCustomizationSpec,PowerOn
j64manager-ctrl01,rke2image,R01_Kubernetes,r01ex241.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,2,8,128,,FALSE
j64manager-ctrl02,rke2image,R01_Kubernetes,r01ex242.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,2,8,128,,FALSE
j64manager-ctrl03,rke2image,R01_Kubernetes,r01ex243.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,2,8,128,,FALSE
j64manager-work01,rke2image,R01_Kubernetes,r01ex244.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,4,16,128,,FALSE
j64manager-work02,rke2image,R01_Kubernetes,r01ex241.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,4,16,128,,FALSE
j64manager-work03,rke2image,R01_Kubernetes,r01ex242.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,4,16,128,,FALSE
j64manager-work04,rke2image,R01_Kubernetes,r01ex243.dev.local,j64manager,nfs_nvme,j64manager,kubes-domain,4,16,128,,FALSE
j64domain-ctrl01,rke2image,R01_Kubernetes,r01ex244.dev.local,j64domain,nfs_nvme,j64domain,kubes-domain,2,8,128,,FALSE
j64domain-ctrl02,rke2image,R01_Kubernetes,r01ex241.dev.local,j64domain,nfs_nvme,j64domain,kubes-domain,2,8,128,,FALSE
j64domain-ctrl03,rke2image,R01_Kubernetes,r01ex242.dev.local,j64domain,nfs_nvme,j64domain,kubes-domain,2,8,128,,FALSE
j64domain-work01,rke2image,R01_Kubernetes,r01ex243.dev.local,j64domain,nfs_nvme,j64domain,kubes-domain,4,16,128,,FALSE
j64domain-work02,rke2image,R01_Kubernetes,r01ex244.dev.local,j64domain,nfs_nvme,j64domain,kubes-domain,4,16,128,,FALSE
j64domain-work03,rke2image,R01_Kubernetes,r01ex241.dev.local,j64domain,nfs_nvme,j64domain,kubes-domain,4,16,128,,FALSE
j52domain-ctrl01,rke2image,R01_Kubernetes,r01ex242.dev.local,j52domain,nfs_nvme,j52domain,kubes-domain,2,8,128,,FALSE
j52domain-ctrl02,rke2image,R01_Kubernetes,r01ex243.dev.local,j52domain,nfs_nvme,j52domain,kubes-domain,2,8,128,,FALSE
j52domain-ctrl03,rke2image,R01_Kubernetes,r01ex244.dev.local,j52domain,nfs_nvme,j52domain,kubes-domain,2,8,128,,FALSE
j52domain-work01,rke2image,R01_Kubernetes,r01ex241.dev.local,j52domain,nfs_nvme,j52domain,kubes-domain,4,16,128,,FALSE
j52domain-work02,rke2image,R01_Kubernetes,r01ex242.dev.local,j52domain,nfs_nvme,j52domain,kubes-domain,4,16,128,,FALSE
j52domain-work03,rke2image,R01_Kubernetes,r01ex243.dev.local,j52domain,nfs_nvme,j52domain,kubes-domain,4,16,128,,FALSE
r01domain-ctrl01,rke2image,R01_Kubernetes,r01ex244.dev.local,r01domain,nfs_nvme,r01domain,kubes-domain,2,8,128,,FALSE
r01domain-ctrl02,rke2image,R01_Kubernetes,r01ex241.dev.local,r01domain,nfs_nvme,r01domain,kubes-domain,2,8,128,,FALSE
r01domain-ctrl03,rke2image,R01_Kubernetes,r01ex242.dev.local,r01domain,nfs_nvme,r01domain,kubes-domain,2,8,128,,FALSE
r01domain-work01,rke2image,R01_Kubernetes,r01ex243.dev.local,r01domain,nfs_nvme,r01domain,kubes-domain,4,16,128,,FALSE
r01domain-work02,rke2image,R01_Kubernetes,r01ex244.dev.local,r01domain,nfs_nvme,r01domain,kubes-domain,4,16,128,,FALSE
r01domain-work03,rke2image,R01_Kubernetes,r01ex241.dev.local,r01domain,nfs_nvme,r01domain,kubes-domain,4,16,128,,FALSE
