VMName,SourceVM,Cluster,VMHost,ResourcePool,Datastore,Folder,Network,CpuCount,MemoryGB,DiskGB,OSCustomizationSpec,PowerOn
j64manager-ctrl01,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j64manager-ctrl02,rkeimage,R01_KSR-Tanzu,r01ex242.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j64manager-ctrl03,rkeimage,R01_KSR-Tanzu,r01ex243.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j64manager-work01,rkeimage,R01_KSR-Tanzu,r01ex244.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j64manager-work02,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j64manager-work03,rkeimage,R01_KSR-Tanzu,r01ex242.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j64manager-work04,rkeimage,R01_KSR-Tanzu,r01ex243.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j64domain-ctrl01,rkeimage,R01_KSR-Tanzu,r01ex244.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j64domain-ctrl02,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j64domain-ctrl03,rkeimage,R01_KSR-Tanzu,r01ex242.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j64domain-work01,rkeimage,R01_KSR-Tanzu,r01ex243.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j64domain-work02,rkeimage,R01_KSR-Tanzu,r01ex244.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j64domain-work03,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j52domain-ctrl01,rkeimage,R01_KSR-Tanzu,r01ex242.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j52domain-ctrl02,rkeimage,R01_KSR-Tanzu,r01ex243.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j52domain-ctrl03,rkeimage,R01_KSR-Tanzu,r01ex244.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
j52domain-work01,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j52domain-work02,rkeimage,R01_KSR-Tanzu,r01ex242.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
j52domain-work03,rkeimage,R01_KSR-Tanzu,r01ex243.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
r01domain-ctrl01,rkeimage,R01_KSR-Tanzu,r01ex244.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
r01domain-ctrl02,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
r01domain-ctrl03,rkeimage,R01_KSR-Tanzu,r01ex242.dev.local,Kube.Control,nfs_nvme,Kube.Control,kubes-domain,2,8,60,,FALSE
r01domain-work01,rkeimage,R01_KSR-Tanzu,r01ex243.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
r01domain-work02,rkeimage,R01_KSR-Tanzu,r01ex244.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
r01domain-work03,rkeimage,R01_KSR-Tanzu,r01ex241.dev.local,Kube.Worker,nfs_nvme,Kube.Worker,kubes-domain,4,16,120,,FALSE
